번호,등급,속성,슬롯 최대 수,스킬명,설명,기본 연출,값1,값2,값3,값4,스킬 생성 위치,스킬 타겟,타입1,타입2,유도,발동중 조작,투사체 관통,슬롯,슬롯,슬롯,슬롯,슬롯,슬롯,슬롯,슬롯,슬롯,비고,레퍼런스 링크,레퍼런스 설명,,,,,,,,
10001,일반,무,3,올려치기,검으로 강하게 올려쳐 공격력 {0}%의 피해를 입힌다.,캐릭터가 올려 치기 시전,,,,,주인공 정면,주인공 정면,범위,,,시전 후 가능,,속성룬,에어본,디버프 : 출혈,피해 증가,쿨타임 감소,,,,,(일반등급) 이기때문에 속성룬 단순 컬러베리,,,,,,,,,,
10002,일반,화 red,3,파이어 에로우,{0}개의 불화살을 날려 공격력 {1}%의 화속성 피해를 입힌다.,캐릭터가 앞으로 발사,,,,,주인공 정면,주인공 정면,투사체,,,시전 후 가능,0,수량,확산,디버프 : 화상,유도,피해 증가,관통 수,쿨타임 감소,,,"확산 = 복사 방사형으로, 수량은 + 수량",,,,,,,,,,
10003,일반,수 blue,3,아이스 볼트,얼음을 {0}개 떨어뜨려 공격력 {0}%의 수속성 피해를 입힌다.,가까운 적 타겟 하늘에서 떨어짐,,,,,가까운 적 상단,가까운 적,고정 타겟팅,,,시전 후 가능,X,수량,확산,디버프 : 동결,디버프 : 슬로우,피해 증가,쿨타임 감소,,,,관통X 닿으면 사라짐,https://youtu.be/eqWRySSDzJc?si=gv3s0jEA7EwGzswW&t=1261,,,,,,,,,
10004,일반,풍 green,3,윈드 커터,바람 칼을 {0}개 날려 공격력 {1}%의 풍속성 피해를 입힌다.,캐릭터에서 분산되서 날아가 적 타격,,,,,주인공 등,가까운 적,고정 타겟팅,,O,불가,X,수량,유도,디버프 : 출혈,피해 증가,쿨타임 감소,,,,,,https://youtu.be/3HA6WlGrNwA?si=P0gItz1sY-jwHuNk&t=470,이동 참조용,,,,,,,,
10005,일반,광 yellow,3,힐,"공격력 {0}% 만큼 자신을 회복시킨다.
수량 +1 이상일 경우
공격력 {0}% 만큼 자신과 HP가 가장 낮은 아군 {1}명을 회복시킨다.
재생 옵션 추가일 경우 문구 추가
공격력 {2}%만큼 1초마다 {3}초동안 회복한다.",타겟에게 이팩트 효과,,,,,주인공,아군,버프,,,시전 후 가능,,수량,재생,버프 : 공격력 강화,버프 : 방어력 강화,쿨타임 감소,,,,,,,,,,,,,,,
10006,일반,암 purpy,3,포이즌 필드,"{0}초간 독 지형을 만들어 0.5초마다 공격력 {1}%의 암속성 피해를 입히고, {2}%의 확률로 Lv{3} 중독을 건다.",캐릭터 주변에 독 필드 설치,,,,,주인공,주인공,지속 범위,,,시전 후 가능,,지속 시간,크기,피해 증가,디버프 : 슬로우,쿨타임 감소,,,,,불속성 공격이 닿으면 폭팔 기능?,,,,,,,,,,
10101,고급,무,3,초승달 베기,"초승달 모양 검기를 발사하여 공격력 {0}%의 피해를 입힌다.
관통력 {1}","검기 발사
넉백 룬으로 다단히트 가능",,,,,주인공 정면,주인공 정면,지속 투사체,,,시전 후 가능,10,속성룬,넉백,크기,길이,피해 증가,관통 수,쿨타임 감소,,,,,,,,,,,,,
10102,고급,화,3,화염 방사,{0}초간 화염을 발사하여 0.5초마다 공격력 {1}%의 화속성 피해를 입힌다.,"화염 발사 하면서 이동 가능
(정령 룬 장착 시 정령이 시전해주고 주인공은 자유롭게 공격 가능)","시전하면서 이동?
캐릭터 애니메이션 없음","정령은처음부터 존재하고 , 정령이 화염 방사를 하는 개념 
유도 룬이 장착되지 않을때는 주인공 옆자리 배치 , 
유도 룬 장착 후 자유 전투 (이동하면서 싸움)",,,주인공 정면,주인공 정면,지속 범위,,,이동만 가능,,유도룬 (정령이 자동 사냥),지속 시간,크기,피해 증가,넉백,쿨타임 감소,,,,한번 더 누르면 캔슬,"https://www.notion.so/Fx-c3dd063025b94638946eee4adec9aa78?p=e6148064ef22464ca5d6a78d413fd5d7&pm=s
https://youtu.be/Si-_aZyvrZc?si=cvjQgG0jHzmronNW&t=86
https://youtu.be/vQ2PBqEVOA8?si=KgssyCqCTWX0bB1N","기존 스킬
던파 스킬(이동 포함, 다리 안움직이고 그냥 이동됨. 너무 최근 스킬로 진화 시킨 버전)
던파 스킬(옛날 버전 화염 방사)",,,,,,,,
10103,고급,수,3,워터 웨이브,물 파도를 일으며 공격력 {0}%의 수속성 피해를 입히고 적을 밀어낸다.,"주인공 위치에서 좌우 발사 가능
끝나는 위치에 적을 모으는 기능
1회 히트로 길이 만큼 밀려남",,,,,주인공 정면,주인공 정면,범위,,,시전 후 가능,,크기,피해 증가,길이,디버프 : 슬로우,쿨타임 감소,,,,,파도처럼 밀려가는 느낌,,,,,,,,,,
10104,고급,풍,3,윈드 가드,"{0}초간 {1}개의 회전하는 바람 칼날이 주인공 주변을 돌며, 닿은 적에게 공격력 {2}%의 풍속성 피해를 입힌다.",2개의 바람 칼날이 주인공 주변을 돈다,,,,,주인공,주인공 주변,지속 투사체,,,시전 후 가능,,지속 시간,수량,크기,넉백,디버프 : 출혈,피해 증가,정령(자동),쿨타임 감소,,,https://youtu.be/Gcf4-nrtPN8?si=aeS5zFZ3Ly23WFo6&t=449,스킬의 컨셉 확인용,,,,,,,,
10105,고급,광,3,빛의 심판,빛의 망치가 공격력 {0}%의 광속성 피해를 입힌 후 공격력 {1}%의 추가 피해를 입힌다.,"빛의 망치로 한번 찌그러트리고, 폭발하면서 2단 히트
많이 모여 있는 적 우선 타겟
워터 웨이브로 모아서 연계하기 좋음",,,,,범위 내 많이 모여 있는 적 우선,범위 내 많이 모여 있는 적 우선,범위,,,시전 후 가능,,크기,피해 증가,에어본,디버프 : 실명,쿨타임 감소,,,,,,,,,,,,,,,
10106,고급,암,3,다크 스피어,"암흑의 창이 적을 관통하여 공격력 {0}%의 암속성 피해를 {1}회 입힌다.
관통력 {1}",워터 웨이브와 다른 발사체로 피어싱 숫자가 제한됨,,,,,주인공 정면,주인공 정면,지속 투사체,,,시전 후 가능,X,수량,피해 증가,넉백,디버프 : 출혈,디버프 : 중독,쿨타임 감소,디버프 : 스턴,,,,,,,,,,,,,
10201,희귀,무,3,휠윈드,{0}초간 회전하면서 0.5초마다 공격력 {1}%의 피해를 입힌다.,힐윈드,,,,,주인공,주인공 주변,지속 범위,,,이동만 가능,,피해 증가,넉백,크기,속성룬,지속 시간,당기기,에어본,쿨타임 감소,,,,,,,,,,,,
10202,희귀,화,3,분화구,"{0}초간 화염 지형을 만들어 0.5초마다 공격력 {1}%의 불속성 피해를 입히고, {2}%의 확률로 Lv{3} 화상을 건다.",캐릭터 앞에 분화구 시전,,,,,주인공,주인공 정면,지속 범위,,,시전 후 가능,,피해 증가,크기,지속 시간,디버프 : 화상,디버프 : 슬로우,쿨타임 감소,,,,,,,,,,,,,,
10203,희귀,수,3,아이스 오브,{0}초간 아이스 구체가 0.5초마다 공격력 {1}%의 수속성 피해를 입힌다.,캐릭터 앞으로 천천히 이동하는 아이스 오브 시전,,,,,주인공,주인공 정면,지속 투사체,,,시전 후 가능,9999,피해 증가,크기,지속 시간,당기기,디버프 : 슬로우,유도,디버프 : 동결,쿨타임 감소,,"당기기가 있으면
구체가 피격하는애 말고 다른 화면의 구체와 가까운
애를 찾아서 유도한다.",당기기 보다 속도가 빠르면 탈출로 확정,,,,,,,,,
10204,희귀,풍,3,체인 라이트닝,"번개가 떨어져 공격력 {0}%의 풍속성 피해를 입히고, 주변의 다른 적에게 {1}회 이동하여, 공격력 {2}%의 풍속성 피해를 입힌다.",가까운 적 타겟 하늘에서 떨어짐,"타겟 위로 떨어지는것 까진 오케이~~ 
A타겟에서 B타겟으로 이동하는 전기 이펙트는 어떻게? 
ㅈ어떤식으로 구현해드리면되요?",요거 색상 풍(그린)인데 라이트닝이 파랑이라 피콕 그린으로 약간 초록끼가 있게 처리,,,가까운 적 상단,랜덤 적,고정 타겟팅,,,시전 후 가능,,피해 증가,수량,확산,디버프 : 마비,쿨타임 감소,,,,,,,,,,,,,,,
10205,희귀,광,2,블레스,"주인공에게 {0}초간 공격력, 방어력을 {1}% 증가 시켜준다.
수량 룬 단 경우, 주인공과 아군 {2}명에게 {0}초간 공격력, 방어력을 {1}% 증가 시켜준다.",신성한 종이 울리면서 각종 버프 부여,,,,,주인공,아군,버프,,,시전 후 가능,,수량,재생,버프 : 공격력 강화,버프 : 방어력 강화,버프 : 가한 피해 증가,버프 : 받는 피해 감소,쿨타임 감소,,,,,,,,,,,,,
10206,희귀,암,3,그림자 부대,주인공의 능력치 {0}%를 가진 그림자 부대 {1}명을 소환하여 {2}초간 전투에 참여 시킨다.,소환 연출 참조(일반적인 캐스팅도 괜찮음),따로따로 만들기?,"1안 ) 클론 으로 하나 만들기 
2안 ) 제가 예시로 드린 기존 캐릭터에 쉐이더 수정해서 틴트 보라 블랙 (다크 보라) 느낌으로",,,주인공,주인공 주변,소환,,,시전 후 가능,,수량,피해 증가,지속 시간,넉백,디버프 : 출혈,디버프 : 중독,쿨타임 감소,,,"주인공 그림자 평타 기본 , 넉백, 디버프, 지속시간 추가",https://youtu.be/WmSvuAXYEek?si=pxDuaWX45Ma9Pgvn&t=216,소환 연출,,,,,,,,
